id,code,description,unit,category,subcategory,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SER480,SER426,"Draw pits, chambers, inspection pits, etc; 1.25",m,Services,General Services,754.58,Services!I613,754.58,Services!A613,Services,general_services
SER481,SER427,"Draw pits, chambers, inspection pits, etc; 0.5",m,Services,General Services,675.33,Services!I615,675.33,Services!A615,Services,general_services
SER482,SER428,"Draw pits, chambers, inspection pits, etc; 0.75",m,Services,General Services,784.25,Services!I616,784.25,Services!A616,Services,general_services
SER483,SER429,"Draw pits, chambers, inspection pits, etc; 1",m,Services,General Services,893.16,Services!I617,893.16,Services!A617,Services,general_services
SER484,SER430,"Draw pits, chambers, inspection pits, etc; 1.25",m,Services,General Services,1002.08,Services!I618,1002.08,Services!A618,Services,general_services
SER485,SER431,"Draw pits, chambers, inspection pits, etc; ne",m,Services,General Services,785.98,Services!I620,785.98,Services!A620,Services,general_services
SER486,SER432,"Draw pits, chambers, inspection pits, etc; 0.5",m,Services,General Services,976.77,Services!I621,976.77,Services!A621,Services,general_services
SER487,SER433,"Draw pits, chambers, inspection pits, etc; 0.75",m,Services,General Services,1167.57,Services!I622,1167.57,Services!A622,Services,general_services
SER488,SER434,"Draw pits, chambers, inspection pits, etc; 1",m,Services,General Services,1358.37,Services!I623,1358.37,Services!A623,Services,general_services
SER489,SER435,"Draw pits, chambers, inspection pits, etc; 1.25",m,Services,General Services,1549.17,Services!I624,1549.17,Services!A624,Services,general_services
SER490,SER436,"Draw pits, chambers, inspection pits, etc; ne",m,Services,General Services,894.04,Services!I626,894.04,Services!A626,Services,general_services
SER491,SER437,"Draw pits, chambers, inspection pits, etc; 0.5",m,Services,General Services,1117.56,Services!I627,1117.56,Services!A627,Services,general_services
SER492,SER438,"Draw pits, chambers, inspection pits, etc; 0.75",m,Services,General Services,1341.07,Services!I628,1341.07,Services!A628,Services,general_services
SER493,SER439,"Draw pits, chambers, inspection pits, etc; 1",m,Services,General Services,1564.58,Services!I629,1564.58,Services!A629,Services,general_services
SER494,SER440,"Draw pits, chambers, inspection pits, etc; 1.25",m,Services,General Services,1788.09,Services!I630,1788.09,Services!A630,Services,general_services
SER495,SER441,"Draw pits, chambers, inspection pits, etc; 1.5",m,Services,General Services,2011.6,Services!I631,2011.6,Services!A631,Services,general_services
