id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
SV0284,566,566,Imported granular fill; type 1,item,Services,General Services,Services Works,,,,A769,Services,general_services
SV0285,567,567,L&C surface of fill,item,Services,General Services,Services Works,,,,A770,Services,general_services
SV0286,568,568,Brickwork kerb; 225mm high; eng bricks; 1B thick in c.m.,kw,Services,General Services,Services Works,,,,A771,Services,general_services
SV0287,569,569,A15 cover & frame; 600x600/450; inc 3 courses of brickwork,kw,Services,General Services,Services Works,,,,A772,Services,general_services
SV0288,570,570,B125 cover & frame; 600x600/450; inc 3 courses of brickwork,kw,Services,General Services,Services Works,,,,A773,Services,general_services
SV0289,571,571,D400 cover & frame; 600x600/450; inc 3 courses of brickwork,kw,Services,General Services,Services Works,,,,A774,Services,general_services
SV0290,572,572,"Supply and install Harton Pod 7500 (Groundworks and concrete surround meas sep); including exc, C/A, EWS, W/S, conc, fwk, rebar, chambers, C&Fs, sump pump discharge, vent pipe, etc; Commission on completion",m,Services,Plumbing Works,Installation,,,,A777,Services,pipe|pump|plumbing_works
SV0291,573,573,Supply and install Harton Pod 7500 (Groundworks and concrete surround meas sep); grdwks meas sep; Commission on completion,item,Services,General Services,Installation,,,,A778,Services,general_services
SV0292,574,574,M& E connections and supplies to Harton Pod (meas sep),item,Services,General Services,Connection,,,,A779,Services,general_services
SV0293,575,575,Servicing and maintenance of Harton Pod,item,Services,General Services,Maintenance,,,,A780,Services,general_services
SV0294,576,576,Attendance on installation team; maintain open trenches,m³,Services,General Services,Installation,,,,A783,Services,general_services
SV0295,577,577,Full road closure,item,Services,General Services,Services Works,,,,A786,Services,general_services
SV0296,578,578,Partial road closure,item,Services,General Services,Services Works,,,,A787,Services,general_services
SV0297,579,579,"Traffic diversion submission & licence, inc liase with Stats, design, proposal & approval/permission, RAMS, fees, etc",item,Services,General Services,Services Works,,,,A789,Services,general_services
SV0298,580,580,"Pedestrian diversion submission & license, inc liase with Stats, design, proposal & approval/permissions, RAMS, fees, etc",item,Services,General Services,Services Works,,,,A790,Services,general_services
SV0299,581,581,"Install traffic management measures, inc lights, signs, lights, notices, etc",nr,Services,General Services,Installation,,,,A791,Services,light|general_services
SV0300,582,582,"Heras fencing, inc erect, adapt and dismantle on completion",item,Services,General Services,Services Works,,,,A793,Services,general_services
SV0301,583,583,Pedestrian barriers,item,Services,General Services,Services Works,,,,A794,Services,general_services
SV0302,584,584,Jersey blocks,item,Services,General Services,Services Works,,,,A795,Services,general_services
SV0303,585,585,Road plates,item,Services,General Services,Services Works,,,,A796,Services,general_services
SV0304,586,586,Survey existing services,item,Services,General Services,Services Works,,,,A799,Services,general_services
SV0305,587,587,Chlorination cleaning of water system,item,Services,Plumbing Works,Services Works,,,,A800,Services,plumbing_works
SV0306,588,588,Hydraulic testing of water main,sum,Services,Plumbing Works,Testing,,,,A801,Services,plumbing_works
SV0307,589,589,CCTV survey,item,Services,General Services,Services Works,,,,A802,Services,general_services
SV0308,590,590,Dispose of ground water,item,Services,Plumbing Works,Services Works,,,,A803,Services,plumbing_works
SV0309,592,592,Test drains,item,Services,General Services,Services Works,,,,A805,Services,general_services
SV0310,593,593,Re-test drains on completion,item,Services,General Services,Services Works,,,,A806,Services,general_services
SV0311,594,594,CCTV survey,item,Services,General Services,Services Works,,,,A807,Services,general_services
