id,code,original_code,description,unit,category,subcategory,work_type,rate,cellRate_reference,cellRate_rate,excelCellReference,sourceSheetName,keywords
DR_0075_Drainage,DR0075,78,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.25 - 3.5 m,m,Drainage,Pipework,Drainage Works,268.34,Drainage!O102,268.34,Drainage!A102,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0076_Drainage,DR0076,79,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.5 - 3.75 m,m,Drainage,Pipework,Drainage Works,284.62,Drainage!O103,284.62,Drainage!A103,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0077_Drainage,DR0077,80,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 3.75 - 4 m,m,Drainage,Pipework,Drainage Works,300.9,Drainage!O104,300.9,Drainage!A104,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0078_Drainage,DR0078,81,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4 - 4.25 m,m,Drainage,Pipework,Drainage Works,317.19,Drainage!O105,317.19,Drainage!A105,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0079_Drainage,DR0079,82,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.25 - 4.5 m,m,Drainage,Pipework,Drainage Works,333.47,Drainage!O106,333.47,Drainage!A106,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0080_Drainage,DR0080,83,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.5 - 4.75 m,m,Drainage,Pipework,Drainage Works,349.75,Drainage!O107,349.75,Drainage!A107,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0081_Drainage,DR0081,84,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 4.75 - 5 m,m,Drainage,Pipework,Drainage Works,366.04,Drainage!O108,366.04,Drainage!A108,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0082_Drainage,DR0082,85,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5 - 5.25 m,m,Drainage,Pipework,Drainage Works,382.32,Drainage!O109,382.32,Drainage!A109,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0083_Drainage,DR0083,86,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.25 - 5.5 m,m,Drainage,Pipework,Drainage Works,398.6,Drainage!O110,398.6,Drainage!A110,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
DR_0084_Drainage,DR0084,87,Excavate trenches for 300mm dia pipes; backfill with SEM; dispose of surplus off site; depth to invert:; depth to invert: 5.5 - 5.75 m,m,Drainage,Pipework,Drainage Works,414.88,Drainage!O111,414.88,Drainage!A111,Drainage,300mm|excavate|trench|pipe|backfill|sem|dispose|invert
